Name,Tenant domain,Container,Source,Group email,Created time,Last activity date,Description,Group type,Viva Engage connection,Hide from address list,Aliases,Team status,Synced from on-premises,Security enabled,Membership type,Privacy,Roles assignable,Roles,Site URL,Mailbox size (GB),Storage used (GB),Sensitivity label,Allow external senders to email this Group,Owners,Members,First EnPower registration time,Group ID,Registered,Primary contact,Secondary contact,Membership assignment method,Claim status,Contact election profile,Renewal profile,Phase,Phase assignee,Renewal start time,Renewal due date,Next renewal date,Last renewal time,Last renewed by,B-Department,Please Select a Site Type to Start the Site Creation Request,B-Library Short Name,B-Library name,Department,Allow External Sharing-choice,EDRMS Site Type,Please select: Lock Site / Unlock Site,Library Short Name,Library name,Please Select a Library Type to Start the Library Creation Request,Procurement library,Allow External Sharing,RefinableString00,Department22,Site Short Name,DRM Department,Business Need,Desired Outcomes,Key Risks and Considerations,Content Category,Site URL,Remarks,Records Manager,Project Owner,External Sharing Allowed?,Choose Project Site Template,Choose Site Template,Please provide business reasons for having site site.,Segment,Division,Region,Manager,Purpose of Use,Request Reason,External Company Name,GALines,Archiver,Delete Site,D- Change list setting
dane-ddos-26,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-26@7rkd12.onmicrosoft.com,8/13/2026 6:44:23 PM,-,dane-ddos-26,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-26,0.00,0.00,None,Off,1,1,8/13/2026 9:38:09 PM,fae1769e-b13d-421e-bf16-7b142579d11b,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-27,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-27@7rkd12.onmicrosoft.com,8/13/2026 6:44:32 PM,-,dane-ddos-27,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-27,0.00,0.00,None,Off,1,1,8/13/2026 9:37:01 PM,193dd9f1-3346-4f8e-a430-a278ddaad6d2,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-28,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-28@7rkd12.onmicrosoft.com,8/13/2026 7:01:07 PM,-,dane-ddos-28,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-28,0.00,0.00,None,Off,1,1,8/13/2026 9:40:13 PM,a0a944af-2a99-4b1d-8706-eac79c873941,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-29,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-29@7rkd12.onmicrosoft.com,8/13/2026 7:01:18 PM,-,dane-ddos-29,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-29,0.00,0.00,None,Off,1,1,8/13/2026 9:39:34 PM,cca2b91e-72e0-46f2-aa8e-4560f88d69b1,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-3,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-3@7rkd12.onmicrosoft.com,8/13/2026 6:35:32 PM,-,dane-ddos-3,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-3,0.00,0.00,None,Off,1,1,8/13/2026 8:38:20 PM,9be520d4-42b6-4bf5-9d65-45770e3ecd01,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-30,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-30@7rkd12.onmicrosoft.com,8/13/2026 7:01:26 PM,-,dane-ddos-30,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-30,0.00,0.00,None,Off,1,1,8/13/2026 9:41:12 PM,b5f72e43-19ec-4de9-ad19-658951136ee9,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-31,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-31@7rkd12.onmicrosoft.com,8/13/2026 7:01:34 PM,-,dane-ddos-31,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-31,0.00,0.00,None,Off,1,1,8/13/2026 9:39:53 PM,d62bbb6d-1ea3-4541-a972-49adab6862b0,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-32,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-32@7rkd12.onmicrosoft.com,8/14/2026 11:31:19 AM,-,dane-ddos-32,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-32,0.00,0.00,None,Off,1,1,8/14/2026 1:40:51 PM,4a351005-6a47-4393-935a-d4ea9aceaea0,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-33,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-33@7rkd12.onmicrosoft.com,8/13/2026 7:01:50 PM,-,dane-ddos-33,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-33,0.00,0.00,None,Off,1,1,8/13/2026 9:44:21 PM,fa4552ca-b9f7-4bc3-a138-abe5c6ac5e03,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-34,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-34@7rkd12.onmicrosoft.com,8/14/2026 10:18:37 AM,-,dane-ddos-34,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-34,0.00,0.00,None,Off,1,1,8/14/2026 12:50:53 PM,bf89e33f-d27e-43da-a0a7-9301d95dbb3f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-35,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-35@7rkd12.onmicrosoft.com,8/14/2026 10:18:45 AM,-,dane-ddos-35,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-35,0.00,0.00,None,Off,1,1,8/14/2026 12:51:13 PM,e4d7bd1d-3dd3-4240-85d8-836dcc5ed3e2,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-36,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-36@7rkd12.onmicrosoft.com,8/14/2026 11:31:30 AM,-,dane-ddos-36,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-36,0.00,0.00,None,Off,1,1,8/14/2026 1:39:34 PM,511b64d3-62ce-4753-9218-a6b7842c470b,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-37,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-37@7rkd12.onmicrosoft.com,8/13/2026 7:02:16 PM,-,dane-ddos-37,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-37,0.00,0.00,None,Off,1,1,8/13/2026 9:38:45 PM,4e805927-2160-4525-abb9-bd32ca444480,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-38,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-38@7rkd12.onmicrosoft.com,8/13/2026 7:02:26 PM,-,dane-ddos-38,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-38,0.00,0.00,None,Off,1,1,8/13/2026 9:47:30 PM,29b585d1-dd95-445e-a628-2785fcb14a76,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-39,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-39@7rkd12.onmicrosoft.com,8/14/2026 11:31:42 AM,-,dane-ddos-39,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-39,0.00,0.00,None,Off,1,1,8/14/2026 1:38:18 PM,7e26e06d-7b1b-4610-bce0-bebf55183235,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-4,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-4@7rkd12.onmicrosoft.com,8/13/2026 6:35:48 PM,-,dane-ddos-4,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-4,0.00,0.00,None,Off,1,1,8/13/2026 8:45:02 PM,d9109c0d-65bf-4482-9e4b-fb0e0d93c8da,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-40,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-40@7rkd12.onmicrosoft.com,8/13/2026 7:02:40 PM,-,dane-ddos-40,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-40,0.00,0.00,None,Off,1,1,8/13/2026 9:45:11 PM,7ecd00aa-403e-47c6-bea4-efd17e3959f4,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-41,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-41@7rkd12.onmicrosoft.com,8/13/2026 7:02:49 PM,-,dane-ddos-41,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-41,0.00,0.00,None,Off,1,1,8/13/2026 9:47:59 PM,68d188f5-9b8d-44e1-8992-7867625ec283,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-42,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-42@7rkd12.onmicrosoft.com,8/13/2026 7:02:57 PM,-,dane-ddos-42,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-42,0.00,0.00,None,Off,1,1,8/13/2026 9:46:39 PM,4523b696-054b-4340-9b26-1eecb569fa1c,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-43,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-43@7rkd12.onmicrosoft.com,8/13/2026 7:03:06 PM,-,dane-ddos-43,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-43,0.00,0.00,None,Off,1,1,8/13/2026 9:49:25 PM,06487ca2-876e-4adc-845c-304de2f7840f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-44,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-44@7rkd12.onmicrosoft.com,8/13/2026 7:03:15 PM,-,dane-ddos-44,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-44,0.00,0.00,None,Off,1,1,8/13/2026 9:50:37 PM,c00d3036-8cf5-4b63-90b9-125afcaef570,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-45,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-45@7rkd12.onmicrosoft.com,8/13/2026 7:03:23 PM,-,dane-ddos-45,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-45,0.00,0.00,None,Off,1,1,8/13/2026 9:49:03 PM,9580692f-1ea2-4b8e-9951-86e7bde31eb1,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-46,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-46@7rkd12.onmicrosoft.com,8/13/2026 7:03:32 PM,-,dane-ddos-46,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-46,0.00,0.00,None,Off,1,1,8/13/2026 9:45:43 PM,75102df1-5340-4fa2-8265-aab109aeaeb9,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-47,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-47@7rkd12.onmicrosoft.com,8/13/2026 7:03:40 PM,-,dane-ddos-47,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-47,0.00,0.00,None,Off,1,1,8/13/2026 9:46:15 PM,579e76b5-51e6-4da8-8506-cfc1ac7d5ca7,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-48,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-48@7rkd12.onmicrosoft.com,8/14/2026 10:19:05 AM,-,dane-ddos-48,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-48,0.00,0.00,None,Off,1,1,8/14/2026 12:51:34 PM,fafb73f3-2f38-4e77-a076-dbb70d9cea98,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-49,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-49@7rkd12.onmicrosoft.com,8/13/2026 7:03:55 PM,-,dane-ddos-49,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-49,0.00,0.00,None,Off,1,1,8/13/2026 9:44:46 PM,3b68b3bc-0331-432a-821e-e81d9738b8e6,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-5,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-5@7rkd12.onmicrosoft.com,8/13/2026 6:43:48 PM,-,dane-ddos-5,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-5,0.00,0.00,None,Off,1,1,8/13/2026 9:37:23 PM,7b29138b-2c22-4f65-ae10-0888e8046e01,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-50,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-50@7rkd12.onmicrosoft.com,8/13/2026 7:04:04 PM,-,dane-ddos-50,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-50,0.00,0.00,None,Off,1,1,8/13/2026 9:54:15 PM,8938d1af-a9e6-4905-b799-1837021aba62,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-51,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-51@7rkd12.onmicrosoft.com,8/14/2026 10:19:12 AM,-,dane-ddos-51,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-51,0.00,0.00,None,Off,1,1,8/14/2026 12:53:26 PM,0cf2a1a4-075a-4e10-bb00-efe5a3cdd8ce,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-52,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-52@7rkd12.onmicrosoft.com,8/14/2026 11:31:53 AM,-,dane-ddos-52,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-52,0.00,0.00,None,Off,1,1,8/14/2026 1:38:42 PM,b57b3ffc-a1ae-469e-a80a-cd6ffd5ba01a,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-53,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-53@7rkd12.onmicrosoft.com,8/13/2026 7:04:25 PM,-,dane-ddos-53,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-53,0.00,0.00,None,Off,1,1,8/13/2026 9:51:41 PM,73528f1e-8367-4946-ba4b-4ff466d3621f,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-54,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-54@7rkd12.onmicrosoft.com,8/14/2026 10:19:27 AM,-,dane-ddos-54,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-54,0.00,0.00,None,Off,1,1,8/14/2026 12:52:31 PM,90f9ae76-b6d1-48be-a409-1d5225d7606c,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-55,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-55@7rkd12.onmicrosoft.com,8/13/2026 7:04:40 PM,-,dane-ddos-55,Microsoft 365 Group,Not connected,Off,-,Teams not connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-55,0.00,0.00,None,Off,1,1,8/13/2026 9:55:31 PM,dbe7c666-6424-4496-a108-397dd70ea629,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-56,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-56@7rkd12.onmicrosoft.com,8/14/2026 10:19:35 AM,-,dane-ddos-56,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-56,0.00,0.00,None,Off,1,1,8/14/2026 12:51:53 PM,274f7c85-93fa-4daf-b761-ff580bc6fac6,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-57,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-57@7rkd12.onmicrosoft.com,8/14/2026 10:19:42 AM,-,dane-ddos-57,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-57,0.00,0.00,None,Off,1,1,8/14/2026 12:52:12 PM,10dd520d-8b2c-488d-bf3b-87808402062b,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dane-ddos-58,Cloud domain: 7rkd12.onmicrosoft.com,Cloud container: Default Group / Team / Engage community container,Cloud,dane-Site-Title-ddos-58@7rkd12.onmicrosoft.com,8/14/2026 10:19:49 AM,-,dane-ddos-58,Microsoft 365 Group,Not connected,Off,-,Teams connected,No,No,Assigned,Public,No,User (no admin center access),https://7rkd12.sharepoint.com/teams/prj_dane-ddos-58,0.00,0.00,None,Off,1,1,8/14/2026 12:53:08 PM,1da6aee9-3ba4-4b19-8edf-306f1731fbd5,No,-,-,N/A,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
